seqName,SPS,time,iter,helice_mixte,vrac_mixte,enf_mixte,enf_propre,struct_propre,openGap,extendGap,helice_propre,struct_mixte
BB11009,0.31894934333958724,11.24569320678711,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.822901248931885,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11010,0.044799376704324115,58.00174832344055,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7403695583343506,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11004,0.35496558505408066,42.80603313446045,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11003,0.2778225806451613,52.33464741706848,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.696661710739136,0,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.479400873184204,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.00815200805664,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11010,0.036618620958317104,57.70795941352844,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.716552495956421,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11004,0.3579154375614553,42.433539390563965,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11003,0.2709677419354839,52.490620851516724,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11008,0.03894736842105263,24.307835817337036,1,4.0,2.0,0.0,1.7,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.216897964477539,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,14.431731224060059,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,57.44383215904236,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7655651569366455,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.3807181505164781,42.368433237075806,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.3665322580645161,52.28641057014465,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,24.21553659439087,2,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.288295269012451,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11002,0.03651685393258427,14.656617164611816,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11010,0.0362290611608882,58.64142680168152,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7833631038665771,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11004,0.3967551622418879,41.728007555007935,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11003,0.28951612903225804,51.32981276512146,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.43304443359375,3,4.0,2.0,0.0,1.5,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.23378586769104,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11002,0.1297752808988764,14.687863111495972,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11010,0.0654460459680561,57.89618396759033,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11001,0.6237006237006237,1.7689800262451172,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11004,0.2777777777777778,41.85448503494263,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11003,0.2770161290322581,51.026185750961304,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11008,0.04736842105263158,20.678149223327637,4,4.0,2.0,0.0,0.1,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.17998194694519,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.80057954788208,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.03583950136345929,57.67153024673462,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.783212423324585,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.3256271519921299,42.44782757759094,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.2875,52.10180449485779,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.005263157894736842,24.509724617004395,5,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.280390739440918,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.09213483146067415,14.951223134994507,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.12855473315153876,57.778865337371826,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7237958908081055,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.35661583866207575,41.719839096069336,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.29274193548387095,51.43478465080261,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.45586347579956,6,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.3227016885553471,11.316555976867676,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.04272062956717257,13.899383306503296,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04246201791975068,58.0544056892395,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.740884780883789,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,42.36426067352295,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.26653225806451614,53.15843439102173,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.339060306549072,7,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.330676078796387,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.04215851602023609,14.478211164474487,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,58.35316491127014,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.828857183456421,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.34923757993113624,42.08852195739746,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.28669354838709676,51.012351989746094,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.03894736842105263,24.14437484741211,8,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.31563949584961,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.463679790496826,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11010,0.046357615894039736,57.11093759536743,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7303097248077393,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11004,0.3807181505164781,41.717857122421265,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11003,0.27298387096774196,51.79527497291565,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.186066150665283,9,4.0,2.0,0.0,0.6,0.0,15.6,2.0,4.0,0.0
BB11009,0.34709193245778613,11.2754225730896,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11002,0.10112359550561797,14.25898003578186,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11010,0.10673938449552006,57.66089081764221,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11001,0.9337474120082816,1.7286293506622314,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11004,0.5009832841691249,42.33636927604675,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11003,0.4012096774193548,51.60796117782593,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11008,0.04842105263157895,22.325632095336914,10,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.13602089881897,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11002,0.13651685393258428,14.212721109390259,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11010,0.049863654070899883,56.92442846298218,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.6999220848083496,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11004,0.3777668470241023,41.334574460983276,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11003,0.3875,50.64409565925598,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11008,0.02,24.079919815063477,11,4.0,2.0,0.0,0.5,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.337923288345337,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.475425958633423,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11010,0.044799376704324115,58.253090381622314,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7544677257537842,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11004,0.35496558505408066,41.67069458961487,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11003,0.2778225806451613,50.95617127418518,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.05644392967224,12,4.0,2.0,0.0,1.3,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.200056076049805,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.707497596740723,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.03544994156603039,57.82527279853821,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7261171340942383,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.4033448106246926,41.574542760849,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.28588709677419355,50.9898841381073,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.14883303642273,13,4.0,2.0,0.0,1.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.198096752166748,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.741474151611328,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.03583950136345929,57.200273275375366,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7075424194335938,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.3256271519921299,41.83880138397217,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.2875,51.14591956138611,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.005263157894736842,24.00654935836792,14,4.0,2.0,0.0,0.9,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.26798152923584,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.09213483146067415,14.740037441253662,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.12855473315153876,57.238648891448975,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.73294997215271,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.35661583866207575,42.13530349731445,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.29274193548387095,51.15701699256897,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.108137607574463,15,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.343895196914673,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.830506086349487,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11010,0.050642773665757694,57.590429067611694,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7346069812774658,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11004,0.3428430890309887,41.85102605819702,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11003,0.2842741935483871,51.41150093078613,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,24.12570858001709,16,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.22725224494934,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,13.755969047546387,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11010,0.04440981690689521,57.400919914245605,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7256810665130615,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11004,0.3462862764387605,41.78432321548462,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11003,0.28588709677419355,51.41351819038391,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.454430103302002,17,4.0,2.0,0.0,1.0,0.0,15.6,2.0,4.0,0.0
BB11009,0.34709193245778613,11.269706010818481,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11002,0.10112359550561797,14.24439263343811,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11010,0.10673938449552006,57.74327278137207,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11001,0.9337474120082816,1.7160882949829102,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11004,0.5009832841691249,42.26044487953186,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11003,0.4012096774193548,51.855398416519165,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11008,0.04842105263157895,22.116464376449585,18,4.0,2.0,0.0,0.0,0.0,15.6,2.0,4.0,0.0
BB11009,0.3227016885553471,11.239652872085571,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.04272062956717257,13.92895245552063,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04246201791975068,57.692062854766846,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7443227767944336,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,43.007978439331055,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.26653225806451614,51.335710287094116,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.34226107597351,19,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.171610116958618,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,14.478450536727905,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,57.145999908447266,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7249274253845215,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.3807181505164781,41.395957231521606,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.3665322580645161,50.97388291358948,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,24.111821174621582,20,4.0,2.0,0.0,1.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.159752607345581,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.71371078491211,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11010,0.045578496299181925,56.620466232299805,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7037615776062012,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,41.17398500442505,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11003,0.380241935483871,52.591291189193726,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.732690811157227,21,4.0,2.0,0.0,1.6,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.221307754516602,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.10842696629213483,14.963998317718506,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04207245812232178,57.080549001693726,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.6299376299376299,1.7647705078125,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.35317265125430397,40.95290803909302,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.2838709677419355,51.94956922531128,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.05052631578947368,21.21073579788208,22,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.248830080032349,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11002,0.039910061832490164,13.807786464691162,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11010,0.050642773665757694,57.24046087265015,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7424030303955078,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11004,0.3428430890309887,41.482226610183716,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11003,0.2842741935483871,50.82056260108948,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11008,0.028421052631578948,23.855897903442383,23,4.0,2.0,0.0,1.1,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.225724220275879,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11002,0.10842696629213483,14.88325023651123,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11010,0.04207245812232178,57.22157907485962,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11001,0.6299376299376299,1.7549011707305908,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11004,0.35317265125430397,40.526668071746826,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11003,0.2838709677419355,50.83860373497009,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11008,0.05052631578947368,20.618544578552246,24,4.0,2.0,0.0,0.2,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.25605821609497,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11002,0.09213483146067415,14.79689645767212,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11010,0.12855473315153876,56.729697465896606,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11001,0.9151138716356108,1.7377879619598389,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11004,0.35661583866207575,41.438413858413696,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11003,0.29274193548387095,50.8566038608551,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,23.852783679962158,25,4.0,2.0,0.0,0.4,0.0,15.6,2.0,4.0,0.0
BB11009,0.3227016885553471,11.226639986038208,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.04272062956717257,13.786568403244019,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04246201791975068,57.06366944313049,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7428295612335205,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.36399409739301525,41.51702833175659,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.26653225806451614,50.97692060470581,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.16096782684326,26,4.0,2.0,0.0,1.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.3302063789868668,11.244362592697144,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11002,0.03709949409780776,14.60609245300293,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11010,0.04908453447604207,57.796048641204834,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7752964496612549,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11004,0.32316773241515,42.03843951225281,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11003,0.267741935483871,51.667232513427734,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.352229118347168,27,4.0,2.0,0.0,0.8,0.0,15.6,2.0,4.0,0.0
BB11009,0.3827392120075047,11.271560430526733,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11002,0.13314606741573035,14.23730206489563,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11010,0.0954421503700818,57.776233196258545,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11001,0.9399585921325052,1.7291817665100098,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11004,0.3644859813084112,41.93779993057251,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11003,0.3774193548387097,56.62033820152283,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11008,0.0,24.29186177253723,28,4.0,2.0,0.0,0.3,0.0,15.6,2.0,4.0,0.0
BB11009,0.31894934333958724,11.37675952911377,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11002,0.04215851602023609,14.475712060928345,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11010,0.04285157771717959,57.58643341064453,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11001,0.9213250517598344,1.7627983093261719,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11004,0.34923757993113624,41.250882387161255,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11003,0.28669354838709676,50.70669913291931,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
BB11008,0.03894736842105263,24.032182455062866,29,4.0,2.0,0.0,1.9,0.0,15.6,2.0,4.0,0.0
